loc,image/0/loc/__text,image/0/title/__text,lastmod,changefreq,priority,image/1/loc/__text,image/1/title/__text,image/2/loc/__text,image/2/title/__text,image/3/loc/__text,image/3/title/__text,image/4/loc/__text,image/4/title/__text,image/5/loc/__text,image/5/title/__text,image/6/loc/__text,image/6/title/__text,image/7/loc/__text,image/7/title/__text,image/8/loc/__text,image/8/title/__text,image/9/loc/__text,image/9/title/__text,image/10/loc/__text,image/10/title/__text,image/11/loc/__text,image/11/title/__text
https://www.idefix.com/Kitap/Ask-Oyunlari-Kilavuzu/Egitim-Basvuru/Aile-Cocuk/Kadin-Erkek-Iliskisi/urunno=0000000348860,https://i.idefix.com/cache/600x600-0/originals/0000000348860-1.jpg,Aşk Oyunları Kılavuzu,2019-10-09T06:13:59+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Satisin-Kucuk-Kirmizi-Kitabi/Jeffrey-Gitomer/Egitim-Basvuru/Is-Ekonomi-Hukuk/Satis-Pazarlama-Halkla-Iliskiler/urunno=0000000214977,https://i.idefix.com/cache/600x600-0/originals/0000000214977-1.jpg,Satışın Küçük Kırmızı Kitabı,2019-02-23T18:57:35+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Yasadiklarimdan-Ogrendigim-Bir-Sey-Var/Edebiyat/Siir/Turk-Siiri/urunno=0000000200575,https://i.idefix.com/cache/600x600-0/originals/0000000200575-1.jpg,Yaşadıklarımdan Öğrendiğim Bir Şey Var,2019-10-07T10:18:45+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Miras/Egitim-Basvuru/Saglik/Beden-Sagligi/urunno=0000000701763,https://i.idefix.com/cache/600x600-0/originals/0000000701763-1.jpg,Miras,2018-11-13T09:26:34+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Virginia-Woolftan-Yazarlik-Dersleri/Danell-Jones/Edebiyat/Edebiyat-Inceleme/urunno=0000000579924,https://i.idefix.com/cache/600x600-0/originals/0000000579924-1.jpg,Virginia Woolf'tan Yazarlık Dersleri,2019-10-17T07:18:34+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Tirebolulu-Denizciler/Ayhan-Yuksel/Edebiyat/Biyografi-Oto-Biyografi/urunno=0000000701765,https://i.idefix.com/cache/600x600-0/originals/0000000701765-1.jpg,Tirebolulu Denizciler,2019-02-23T22:39:25+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Kendini-Aldatma/Arbinger-Enstitusu/Egitim-Basvuru/Kisisel-Gelisim/urunno=0000000135360,https://i.idefix.com/cache/600x600-0/originals/0000000135360-1.jpg,Kendini Aldatma,2019-02-23T15:05:33+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Kalbimin-Tek-Sahibi/Edebiyat/Roman/Romantik/urunno=0000000364832,https://i.idefix.com/cache/600x600-0/originals/0000000364832-1.jpg,Kalbimin Tek Sahibi,2019-10-09T06:14:08+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Gulusun-Gizi-Clz/Edebiyat/Dunya-Oyku/urunno=0000000219283,https://i.idefix.com/cache/600x600-0/originals/0000000219283-1.jpg,Gülüşün Gizi,2019-10-24T07:44:56+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/21-Yuzyilin-Esiginde-Turk-Dis-Politikasi/Arastirma-Tarih/Politikaarastirma/Uluslararasi-Iliskiler/urunno=0000000113100,https://i.idefix.com/cache/600x600-0/originals/0000000113100-1.jpg,21.Yüzyılın Eşiğinde Türk Dış Politikası,2019-10-18T06:48:06+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Sarman-Midilli/Cocuk-Ve-Genclik/Okul-Cagi-6-10-Yas/Cocuk-Oykuhikaye/urunno=0000000069846,https://i.idefix.com/cache/600x600-0/originals/0000000069846-1.jpg,Sarman Midilli,2019-10-03T07:01:04+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Fizik-2/Bilim/Fizik/urunno=0000000188675,https://i.idefix.com/cache/600x600-0/originals/0000000188675-1.jpg,Fizik 2,2019-10-02T00:38:11+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Ogrenmek-Gelismek-Ozgurlesmek/Irfan-Erdogan/Egitim-Basvuru/Kisisel-Gelisim/urunno=0000000150783,https://i.idefix.com/cache/600x600-0/originals/0000000150783-1.jpg,Öğrenmek Gelişmek Özgürleşmek,2019-02-23T18:46:03+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Yoga-Yoganin-Guzelligi/Egitim-Basvuru/Saglik/Yoga-Meditasyon/urunno=0000000139293,https://i.idefix.com/cache/600x600-0/originals/0000000139293-1.jpg,Yoga-Yoganın Güzelliği,2019-10-18T06:48:34+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Edebi-Polisiye-Seti-5-Kitap-Takim/Edebiyat/Roman/Dunya-Roman/urunno=0000000573755,https://i.idefix.com/cache/600x600-0/originals/0000000573755-1.jpg,Edebi Polisiye Seti (5 Kitap Takım),2019-10-25T07:27:42+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Sahi-Mutsuz-Musun-Herkes-Seni-Soyluyor/Edebiyat/Denemeyazin/urunno=0000000106542,https://i.idefix.com/cache/600x600-0/originals/0000000106542-1.jpg,Sahi Mutsuz musun? Herkes Seni Söylüyor,2019-10-24T07:43:57+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Eglenceli-Bilgi-Hobi-Havaya-Ucuran-Muzik/Cocuk-Ve-Genclik/Okul-Cagi-6-10-Yas/Cocuk-Egitimetkinlik/urunno=0000000077888,https://i.idefix.com/cache/600x600-0/originals/0000000077888-1.jpg,Eğlenceli Bilgi (Hobi) - Havaya Uçuran Müzik,2019-10-17T07:15:41+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Winx-Family-Serisi/Iginio-Straffi/Cocuk-ve-Genclik/Okul-Cagi-6-10-Yas/Cocuk-Oyku-Hikaye/urunno=0000000423826,https://i.idefix.com/cache/600x600-0/originals/0000000423826-1.jpg,Winx Family Serisi,2019-10-10T12:03:40+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Azmin-Gucu-Dunyayi-Degistirir-Gol!-Clz/Cocuk-Ve-Genclik/Genclik-10-Yas/Romanoyku/urunno=0000000288314,https://i.idefix.com/cache/600x600-0/originals/0000000288314-1.jpg,Azmin Gücü Dünyayı Değiştirir Gol!,2019-10-18T06:49:57+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Golge-Adam/Edebiyat/Roman/Polisiye/urunno=0000000290239,https://i.idefix.com/cache/600x600-0/originals/0000000290239-1.jpg,Gölge Adam,2019-10-09T06:16:05+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Askyuvarlar/Edebiyat/Denemeyazin/urunno=0000000144139,https://i.idefix.com/cache/600x600-0/originals/0000000144139-1.jpg,Aşkyuvarlar,2019-10-07T10:18:22+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Kotu-Yol/Cizgi-Roman/urunno=0000000359730,https://i.idefix.com/cache/600x600-0/originals/0000000359730-1.jpg,Kötü Yol,2019-10-24T09:02:04+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Yeni-Cocuk/Temple-Mathews/Edebiyat/Roman/Fantastik/urunno=0000000701741,https://i.idefix.com/cache/600x600-0/originals/0000000701741-1.jpg,Yeni Çocuk,2019-10-09T06:15:34+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Cem-Sultan/Edebiyat/Roman/Dunya-Roman/urunno=0000000103626,https://i.idefix.com/cache/600x600-0/originals/0000000103626-1.jpg,Cem Sultan,2019-10-24T07:43:53+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Alimlerin-Akil-Oyunlari/Muallim-Naci/Edebiyat/Roman/Turk-Klasik/urunno=0000000309356,https://i.idefix.com/cache/600x600-0/originals/0000000309356-1.jpg,Alimlerin Akıl Oyunları,2019-02-24T14:21:10+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Sihirli-Balerin-Defne-Ve-Peri-Kizi/Cocuk-Ve-Genclik/Okul-Cagi-6-10-Yas/Cocuk-Oykuhikaye/urunno=0000000361334,https://i.idefix.com/cache/600x600-0/originals/0000000361334-1.jpg,Sihirli Balerin - Defne ve Peri Kızı,2019-10-09T06:14:04+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Underground-Ya-Da-Cagimizin-Bir-Kahramani/Edebiyat/Roman/Dunya-Roman/urunno=0000000304834,https://i.idefix.com/cache/600x600-0/originals/0000000304834-1.jpg,Underground (Ya Da Çağımızın Bir Kahramanı),2019-10-24T07:45:40+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Siradan-Insana-Hikayeler-Tao-Cin-Zen-Bilgeligi/Sefer-Guseynov/Felsefe/Bilgelik/urunno=0000000701755,https://i.idefix.com/cache/600x600-0/originals/0000000701755-1.jpg,Sıradan İnsana Hikayeler - Tao - Çin - Zen Bilgeliği,2019-02-26T06:43:16+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Olmak-Yada-Olmak/Sanat-Tasarim/Sanatcilar/urunno=0000000175228,https://i.idefix.com/cache/600x600-0/originals/0000000175228-1.jpg,Olmak yada Olmak,2019-10-07T10:18:35+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Bellegim-Kuytularindan/Hilmi-Yavuz/Edebiyat/Edebiyat-Inceleme/urunno=0000000331633,https://i.idefix.com/cache/600x600-0/originals/0000000331633-1.jpg,Belleğim Kuytularından,2019-10-17T07:17:12+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Milli-Yemin/Cocuk-Ve-Genclik/Okul-Cagi-6-10-Yas/Cocuk-Egitimetkinlik/urunno=0000000530087,https://i.idefix.com/cache/600x600-0/originals/0000000530087-1.jpg,Milli Yemin,2018-12-19T11:14:45+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Bir-Genc-Kizin-Gizli-Defteri-5-Iste-Hayat/Cocuk-Ve-Genclik/Genclik-10-Yas/Romanoyku/urunno=0000000179572,https://i.idefix.com/cache/600x600-0/originals/0000000179572-1.jpg,Bir Genç Kızın Gizli Defteri-5 İşte Hayat,2019-10-07T10:18:37+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
https://www.idefix.com/Kitap/Imzali-Yildiz-Yaralanmasi/Edebiyat/Roman/Turkiye-Roman/urunno=0000000422011,https://i.idefix.com/cache/600x600-0/originals/0000000422011-1.jpg,İmzalı - Yıldız Yaralanması,2019-10-24T07:46:53+03:00,hourly,0.5,,,,,,,,,,,,,,,,,,,,,,
